Section ;CHAPITRE;NOMENCLATURE;STATUT;CHAPITRE_LIB;ARTICLE;OPERATION;OPERATION_LIB;FONCTION;CODE_AXE_ANALYTIQUE_PROFONDEUR_1;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_1;CODE_AXE_ANALYTIQUE_PROFONDEUR_2;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_2;Réalisé total;SENS;SECTION;ANNEE
DRF;11.0;M14;CA; Charges à caractère général;60628.;;;7222.0;01062.; LOGISTIQUE ;HCV.; Hors compte ventilation;4256,09;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60628.;;;80.0;01062.; LOGISTIQUE ;PL.; Poids Lourds;1048,84;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60628.;;;80.0;01062.; LOGISTIQUE ;VL.; Véhicules Légers ;16890,94;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60628.;;;80.0;01062.; LOGISTIQUE ;HCV.; Hors compte ventilation;7909,38;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60628.;;;81.0;0102.; EDUCATION;HCV.; Hors compte ventilation;223,2;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60628.;;;845.0;01061.; POLE CADRE DE VIE ;HCV.; Hors compte ventilation;797,89;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60628.;;;847.0;01061.; POLE CADRE DE VIE ;SIGNALISATION.; Service Signalisation;537,49;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60628.;;;847.0;01061.; POLE CADRE DE VIE ;HCV.; Hors compte ventilation;2121,42;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60631.;;;20.0;0106.; CTM;HCV.; Hors compte ventilation;12451,2;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60631.;;;20.0;0123.; PROD ENT;HCV.; Hors compte ventilation;39238,63;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60631.;;;281.0;0102.; EDUCATION;HCV.; Hors compte ventilation;998,67;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60631.;;;281.0;0112.; JEUNESSE;HCV.; Hors compte ventilation;271,51;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60631.;;;412.0;0125.; PREVENTION ;COVID.; Covid;1584,17;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;20.0;0103.; BATIMENTS COMMUNAUX;MAIRIE.; Mairie;6486,08;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;20.0;0103.; BATIMENTS COMMUNAUX;MPE.; Maison petite enfance;750,07;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;20.0;0110.; EVENEMENTIEL;HCV.; Hors compte ventilation;63,6;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;20.0;0111.; FINANCES;HCV.; Hors compte ventilation;591,44;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;20.0;0115.; PROTOCOLE;ELECTIONS.; Elections ;446,88;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;20.0;0115.; PROTOCOLE;HCV.; Hors compte ventilation;552,97;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;20.0;0120.; INFORMATIQUE;HCV.; Hors compte ventilation;3062,5;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;22.0;01062.; LOGISTIQUE ;LETTRAGE.; Service Lettrage;680,56;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;22.0;0119.; COMMUNICATION;HCV.; Hors compte ventilation;801,04;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;23.0;0119.; COMMUNICATION;HCV.; Hors compte ventilation;-157,2;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;25.0;01061.; POLE CADRE DE VIE ;HCV.; Hors compte ventilation;522,54;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;211.0;0102.; EDUCATION;MT.; MOUET Maternelle les mouettes;254,7;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;284.0;0121.; Développement durable;HCV.; Hors compte ventilation;-51,78;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;311.0;0110.; EVENEMENTIEL;MANIFESTATIONS.; Manifestations ;203,78;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;311.0;0110.; EVENEMENTIEL;VICTOR.; HUGO Victor Hugo ;416,64;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;311.0;0110.; EVENEMENTIEL;HCV.; Hors compte ventilation;373,6;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;314.0;0114.; MUSEE QUENTOVIC;HCV.; Hors compte ventilation;2330,32;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;321.0;0116.; SPORT;SALLE.; OYATS Salle des Oyats;142,64;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;322.0;0116.; SPORT;TER.; SYNT Terrain synthétique M.Guervile ;441,77;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;322.0;0116.; SPORT;HCV.; Hors compte ventilation;900;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;325.0;0103.; BATIMENTS COMMUNAUX;CORDERIE.; La Corderie ;742,43;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;325.0;0116.; SPORT;HCV.; Hors compte ventilation;41,18;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;325.0;01161.; CNC;AIRE.; C Aire de carénage;1216,95;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;325.0;01161.; CNC;HCV.; Hors compte ventilation;1210,9;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;33.0;0110.; EVENEMENTIEL;HCV.; Hors compte ventilation;-63,6;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;338.0;0112.; JEUNESSE;HCV.; Hors compte ventilation;489,08;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;412.0;01062.; LOGISTIQUE ;EPI.; Equipements de Protection Individuel;57,6;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;510.0;PB.; POLE PATRIMOINE BATI;HCV.; Hors compte ventilation;-876,59;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;510.0;01062.; LOGISTIQUE ;COUVERTURE.; Service Couverture;194,57;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;510.0;01062.; LOGISTIQUE ;MAGASIN.; Magasin CTM;193,34;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;510.0;01062.; LOGISTIQUE ;VRD.; Service Voirie ;232,35;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;510.0;01062.; LOGISTIQUE ;HCV.; Hors compte ventilation;1316,46;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;511.0;01061.; POLE CADRE DE VIE ;EV.; Esp. verts;570,63;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;511.0;01061.; POLE CADRE DE VIE ;FORET.; Service Forêt;438;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;511.0;01061.; POLE CADRE DE VIE ;HCV.; Hors compte ventilation;1772,56;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;512.0;01061.; POLE CADRE DE VIE ;HCV.; Hors compte ventilation;76,54;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;7222.0;01061.; POLE CADRE DE VIE ;HCV.; Hors compte ventilation;1093,44;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;80.0;01062.; LOGISTIQUE ;VL.; Véhicules Légers ;1772,13;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60632.;;;80.0;01062.; LOGISTIQUE ;HCV.; Hors compte ventilation;282,17;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60633.;;;20.0;01061.; POLE CADRE DE VIE ;Sinistres.; Sinistres;33,42;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60633.;;;322.0;0116.; SPORT;COMPLEXE.; BIGOT Complexe Jean Bigot;40;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60633.;;;325.0;01161.; CNC;HCV.; Hors compte ventilation;721,68;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60633.;;;510.0;VRD.; VRD;HCV.; Hors compte ventilation;-600;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60633.;;;512.0;01061.; POLE CADRE DE VIE ;HCV.; Hors compte ventilation;395,76;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60633.;;;518.0;01061.; POLE CADRE DE VIE ;HCV.; Hors compte ventilation;417,6;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60633.;;;845.0;VRD.; VRD;HCV.; Hors compte ventilation;-68,4;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60633.;;;845.0;01061.; POLE CADRE DE VIE ;VICTOR.; HUGO Victor Hugo ;1416,18;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60633.;;;845.0;01061.; POLE CADRE DE VIE ;HCV.; Hors compte ventilation;12147,3;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60633.;;;847.0;VRD.; VRD;HCV.; Hors compte ventilation;-948;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60633.;;;847.0;01061.; POLE CADRE DE VIE ;SIGNALISATION.; Service Signalisation;10071,51;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60633.;;;847.0;01061.; POLE CADRE DE VIE ;HCV.; Hors compte ventilation;1785,6;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;20.0;0101.; ADMINISTRATION GENERALE ET JURIDIQUE;HCV.; Hors compte ventilation;-109,09;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;20.0;0102.; EDUCATION;HCV.; Hors compte ventilation;1895,45;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;20.0;0115.; PROTOCOLE;HCV.; Hors compte ventilation;240;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;23.0;0115.; PROTOCOLE;GEORGES.; V Commémoration du Roi Georges V;581,14;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;11.0;0117.; POLICE MUNICIPALE;HCV.; Hors compte ventilation;4286,33;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;325.0;CNC.; CNC;HCV.; Hors compte ventilation;-194,4;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;325.0;01161.; CNC;HCV.; Hors compte ventilation;381,64;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;331.0;0116.; SPORT;HCV.; Hors compte ventilation;-337,97;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;338.0;0112.; JEUNESSE;Médiateurs.; Médiateurs;1034,84;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;412.0;01062.; LOGISTIQUE ;COUVERTURE.; Service Couverture;59,05;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;412.0;01062.; LOGISTIQUE ;ELECTRICITE.; Service Électricité ;105,28;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;412.0;01062.; LOGISTIQUE ;EPI.; Equipements de Protection Individuel;33234,44;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;412.0;01062.; LOGISTIQUE ;SERVICE-FESTIVITES.; Services Festivités ;76,58;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;412.0;01062.; LOGISTIQUE ;SIGNALISATION.; Service Signalisation;153,16;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;412.0;01062.; LOGISTIQUE ;VRD.; Service Voirie ;72,1;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;412.0;01062.; LOGISTIQUE ;HCV.; Hors compte ventilation;84,07;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;510.0;LOGISTIQUE.; LOGISTIQUE;HCV.; Hors compte ventilation;-149,93;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;510.0;RESSOURCES.; POLE RESSOURCES;HCV.; Hors compte ventilation;-1665,55;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;60636.;;;6312.0;0124.; URBANISME;MARCHE.; Marché;774,73;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6064.;;;20.0;0101.; ADMINISTRATION GENERALE ET JURIDIQUE;URBANISME.; Urbanisme;217,16;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6064.;;;20.0;0101.; ADMINISTRATION GENERALE ET JURIDIQUE;HCV.; Hors compte ventilation;158,4;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6064.;;;20.0;0110.; EVENEMENTIEL;HCV.; Hors compte ventilation;960;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6064.;;;20.0;0115.; PROTOCOLE;HCV.; Hors compte ventilation;322,94;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6064.;;;20.0;0122.; REPROGRAPHIE;Cartouches.; Cartouches;3640,63;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6064.;;;20.0;0122.; REPROGRAPHIE;Divers-repro.; Divers reprographie;8427,56;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6064.;;;20.0;0122.; REPROGRAPHIE;Ramettes.; ramettes;7695,54;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6064.;;;20.0;0122.; REPROGRAPHIE;HCV.; Hors compte ventilation;-962,42;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6064.;;;22.0;0119.; COMMUNICATION;HCV.; Hors compte ventilation;1099,13;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6064.;;;311.0;0108.; ECOLE MUSIQUE;HCV.; Hors compte ventilation;830,4;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6065.;;;20.0;0101.; ADMINISTRATION GENERALE ET JURIDIQUE;HCV.; Hors compte ventilation;39;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6065.;;;20.0;0115.; PROTOCOLE;HCV.; Hors compte ventilation;59,09;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6065.;;;311.0;0110.; EVENEMENTIEL;VICTOR.; HUGO Victor Hugo ;254,52;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6065.;;;313.0;0104.; MEDIATHEQUE;HCV.; Hors compte ventilation;4975,13;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6067.;;;211.0;0102.; EDUCATION;MT.; JMOUL Maternelle Jean Moulin;3645,47;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6067.;;;211.0;0102.; EDUCATION;MT.; MIJO Maternelle Saint Michel Saint Joseph;1700;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6067.;;;211.0;0102.; EDUCATION;MT.; MOUET Maternelle les mouettes;3417,91;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6067.;;;211.0;0102.; EDUCATION;MT.; ROMBLY Maternelle Rombly;3388,36;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6067.;;;211.0;0102.; EDUCATION;MTFOY.; Maternelle Notre dame de Foy;1407,94;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6067.;;;212.0;0102.; EDUCATION;PR.; MIJO Primaire Saint Michel Saint Joseph;7887,83;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6067.;;;212.0;0102.; EDUCATION;PRFOY.; Primaire Notre dame de Foy;2486,06;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6067.;;;212.0;0102.; EDUCATION;PRMACE.; Primaire Jean Macé;8406,3;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6067.;;;212.0;0102.; EDUCATION;PRMOUL.; Primaire Jean Moulin;6645,48;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6067.;;;212.0;0102.; EDUCATION;PRROMBLY.; Primaire Rombly;8454,73;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6068.;;;412.0;COVID.; COVID 19 ;HCV.; Hors compte ventilation;1131,75;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6068.;;;412.0;0125.; PREVENTION ;COVID.; Covid;-1131,75;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0101.; ADMINISTRATION GENERALE ET JURIDIQUE;PROJETEUR.; Projeteur ;2544;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0101.; ADMINISTRATION GENERALE ET JURIDIQUE;HCV.; Hors compte ventilation;402;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0103.; BATIMENTS COMMUNAUX;ASS.; MODELISME Association Club de Modélisme ;36;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0103.; BATIMENTS COMMUNAUX;ASS.; RESTO Association Resto du Coeur;48;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0103.; BATIMENTS COMMUNAUX;BAT.; GEND Bât. Gendarmerie;42;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0103.; BATIMENTS COMMUNAUX;CLOS.; Clos Saint Victor;120;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0103.; BATIMENTS COMMUNAUX;CPTCA.; Centre de soins, daccompagnement et de prévention en addictologie ;96;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0103.; BATIMENTS COMMUNAUX;Eglise.; St Michel Eglise St Michel;120;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; J FERRY Local Jules Ferry;276;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0103.; BATIMENTS COMMUNAUX;LOC.; SYNDICAT Local syndicat;96;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0103.; BATIMENTS COMMUNAUX;MAIRIE.; Mairie;1685,42;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0103.; BATIMENTS COMMUNAUX;MAIRIE.; ANN Mairie Annexe;30;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0103.; BATIMENTS COMMUNAUX;PYRAMIDE.; Maison quartier la Pyramide ;54;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0103.; BATIMENTS COMMUNAUX;SALLE.; DELATTRE Salle l'Abbé DELATTRE;54;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0103.; BATIMENTS COMMUNAUX;HCV.; Hors compte ventilation;438;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0106.; CTM;HCV.; Hors compte ventilation;462;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0111.; FINANCES;MP.; Marchés Publics ;-311,2;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;20.0;0111.; FINANCES;HCV.; Hors compte ventilation;72534,32;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;25.0;0103.; BATIMENTS COMMUNAUX;HCV.; Hors compte ventilation;42;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;11.0;0117.; POLICE MUNICIPALE;HCV.; Hors compte ventilation;3972,2;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;211.0;0102.; EDUCATION;MT.; JMOUL Maternelle Jean Moulin;150;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;211.0;0102.; EDUCATION;MT.; MOUET Maternelle les mouettes;210;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;211.0;0102.; EDUCATION;MT.; ROMBLY Maternelle Rombly;198;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;212.0;0102.; EDUCATION;PRMACE.; Primaire Jean Macé;192;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;212.0;0102.; EDUCATION;PRMOUL.; Primaire Jean Moulin;354;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;212.0;0102.; EDUCATION;PRROMBLY.; Primaire Rombly;186;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;281.0;0102.; EDUCATION;HCV.; Hors compte ventilation;468;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;281.0;0112.; JEUNESSE;HCV.; Hors compte ventilation;132;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;311.0;0110.; EVENEMENTIEL;ROCK.; EN STOCK ROCK EN STOCK;1314,78;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;313.0;0104.; MEDIATHEQUE;HCV.; Hors compte ventilation;96;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;314.0;0113.; MUSEE DE LA MARINE;HCV.; Hors compte ventilation;312;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;321.0;0116.; SPORT;DOJO.; Dojo la corderie;90;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;321.0;0116.; SPORT;SALLE.; CAR Salle des carrières ;120;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;321.0;0116.; SPORT;SALLE.; FLESSEL Salle Laura FLESSEL;363,6;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;321.0;0116.; SPORT;SALLE.; MUSCULATION Salle musculation ancien ACM;108;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;321.0;0116.; SPORT;SALLE.; OYATS Salle des Oyats;525,6;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;321.0;0116.; SPORT;SALLE.; PING PONG Salle de Ping Pong;48;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;321.0;0116.; SPORT;SALLE.; TENNIS Salle de tennis ;264;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;321.0;0116.; SPORT;SALLE.; TIR  Salle du tir à l'arc;192;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;322.0;0116.; SPORT;COMPLEXE.; BIGOT Complexe Jean Bigot;115,2;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;322.0;0116.; SPORT;ST.; BERGERIES Terrain les Bergeries ;38,4;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;322.0;0116.; SPORT;ST.; D MARTIN Stade Daniel MARTIN;379,2;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;322.0;0116.; SPORT;ST.; GUILLY Stade François GUILLUY;292,8;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;322.0;0116.; SPORT;TER.; ASSOCIAT Terrains des associations (Bergeries);144;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;322.0;0116.; SPORT;TER.; SYNT Terrain synthétique M.Guervile ;187,2;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;322.0;0116.; SPORT;VEST.; GUILLY  Vestiaires Stade François Guilluy;192;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;322.0;0116.; SPORT;HCV.; Hors compte ventilation;38,4;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;325.0;0103.; BATIMENTS COMMUNAUX;CORDERIE.; La Corderie ;240;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;325.0;0112.; JEUNESSE;JPINS.; Centre Jeunes Pins;138;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;325.0;01161.; CNC;HCV.; Hors compte ventilation;264;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;611.;;;4214.0;0112.; JEUNESSE;PACIFIC.; PACIFIC;192;Dépense;Fonctionnement;2022.0
